Título,Enlace,Fecha de Publicación,Descripción,,,,
Otra denuncia archivada contra Ayuso por una muerte en una residencia en el Covid: ya son al menos 63,https://okdiario.com/espana/otra-denuncia-archivada-contra-ayuso-muerte-residencia-covid-ya-son-menos-63-14386639,"Tue, 04 Mar 2025 23:25:01 +0100","Otra denuncia archivada contra Ayuso por una muerte en una residencia durante el Covid, y ya son al menos 63. La última es de un Juzgado de Collado Villalba (en Madrid) ha  cerrado la investigación sobre el fallecimiento de un anciano en una residencia durante la crisis del COVID-19.En su resolución, la juez argumenta que … <a class=""more-link"" href=""https://okdiario.com/espana/otra-denuncia-archivada-contra-ayuso-muerte-residencia-covid-ya-son-menos-63-14386639"">Continuar leyendo<span class=""screen-reader-text""> ""Otra denuncia archivada contra Ayuso por una muerte en una residencia en el Covid: ya son al menos 63""</span></a>",,,,
Resultados de las eliminatorias de octavos de la Champions League,https://okdiario.com/deportes/resultados-eliminatorias-octavos-champions-league-14386656,"Tue, 04 Mar 2025 23:18:36 +0100","La Champions League ya ha entrado en la ronda de octavos de final. La gran competición de clubes en Europa está ya en la parte decisiva, en la de eliminatorias con encuentros de ida y vuelta, y con 16 equipos que accedieron a esta ronda tras pasar la fase liga (en la que se jugaron … <a class=""more-link"" href=""https://okdiario.com/deportes/resultados-eliminatorias-octavos-champions-league-14386656"">Continuar leyendo<span class=""screen-reader-text""> ""Resultados de las eliminatorias de octavos de la Champions League""</span></a>",,,,
El rey Carlos abre los salones del Castillo de Windsor a los musulmanes que rompen el ayuno del Ramadán,https://okdiario.com/internacional/rey-abre-salones-del-castillo-windsor-musulmanes-que-rompen-ayuno-del-ramadan-14386579,"Tue, 04 Mar 2025 23:05:36 +0100","El rey Carlos III abrió el domingo los salones del Castillo de Windsor a los musulmanes que rompen el ayuno del Ramadán. El salón de San Jorge acogió el Iftar inaugural, que es la comida nocturna después de haber estado todo el día en ayunas. Es la primera vez que los salones del Castillo de … <a class=""more-link"" href=""https://okdiario.com/internacional/rey-abre-salones-del-castillo-windsor-musulmanes-que-rompen-ayuno-del-ramadan-14386579"">Continuar leyendo<span class=""screen-reader-text""> ""El rey Carlos abre los salones del Castillo de Windsor a los musulmanes que rompen el ayuno del Ramadán""</span></a>",,,,
¿Sigue abierto el restaurante Brau después de ‘Batalla de restaurantes’?,https://okdiario.com/happyfm/sigue-abierto-restaurante-brau-despues-batalla-restaurantes-14379203,"Tue, 04 Mar 2025 22:30:57 +0100","Batalla de restaurantes sigue en su viaje por toda España en búsqueda de los mejores restaurantes de nuestro país. En Barcelona, los participantes han sido Brau, el restaurante de la chef María Espín en Sant Cugat del Vallés; Can Mauri, en la población de Polinyà, propiedad de Alex Ruano; Pepito, en pleno barrio de L’Eixample de Barcelona, … <a class=""more-link"" href=""https://okdiario.com/happyfm/sigue-abierto-restaurante-brau-despues-batalla-restaurantes-14379203"">Continuar leyendo<span class=""screen-reader-text""> ""¿Sigue abierto el restaurante Brau después de ‘Batalla de restaurantes’?""</span></a>",,,,
Alineación del Barcelona contra el Benfica: De Jong y Olmo resuelven el puzzle del centro del campo,https://okdiario.com/deportes/alineacion-del-barcelona-contra-benfica-jong-olmo-resuelven-puzzle-del-centro-del-campo-14383866,"Tue, 04 Mar 2025 22:00:56 +0100","La alineación del Barcelona para medirse al Benfica este miércoles en el estadio de Da Luz con motivo de la ida de los octavos de final de la Champions League será la mejor posible para Hansi Flick. El entrenador alemán saldrá con todo en un partido crucial en Europa. Frenkie De Jong y Dani Olmo … <a class=""more-link"" href=""https://okdiario.com/deportes/alineacion-del-barcelona-contra-benfica-jong-olmo-resuelven-puzzle-del-centro-del-campo-14383866"">Continuar leyendo<span class=""screen-reader-text""> ""Alineación del Barcelona contra el Benfica: De Jong y Olmo resuelven el puzzle del centro del campo""</span></a>",,,,
Trump anunciará hoy el acuerdo con Ucrania por las tierras raras en su discurso en el Congreso,https://okdiario.com/internacional/trump-anunciara-hoy-acuerdo-ucrania-tierras-raras-discurso-congreso-14386271,"Tue, 04 Mar 2025 20:45:48 +0100","Donald Trump tiene previsto anunciar este martes en el discurso ante el Congreso la firma del acuerdo de tierras raras con Volodímir Zelenski, que allanará el camino para terminar la guerra entre Ucrania y Rusia. El acuerdo quedó en suspenso el pasado viernes tras una polémica reunión en el Despacho Oval entre Trump y el … <a class=""more-link"" href=""https://okdiario.com/internacional/trump-anunciara-hoy-acuerdo-ucrania-tierras-raras-discurso-congreso-14386271"">Continuar leyendo<span class=""screen-reader-text""> ""Trump anunciará hoy el acuerdo con Ucrania por las tierras raras en su discurso en el Congreso""</span></a>",,,,
"Muere James Harrison a los 88 años, el donante cuya ‘sangre mágica’ salvó a más de dos millones de bebés",https://okdiario.com/salud/muere-james-harrison-cuya-sangre-magica-salvo-mas-dos-millones-bebes-88-anos-14386131,"Tue, 04 Mar 2025 20:17:54 +0100","James Harrison era un donante de sangre cuyo plasma contenía un «anticuerpo raro y precioso» conocido como Anti-D, donó sangre más de 1.100 veces, según la Cruz Roja Australiana Lifeblood, que confirmó su muerte. Harrison, conocido como el «hombre del brazo de oro», murió mientras dormía en un asilo de ancianos al norte de Sídney … <a class=""more-link"" href=""https://okdiario.com/salud/muere-james-harrison-cuya-sangre-magica-salvo-mas-dos-millones-bebes-88-anos-14386131"">Continuar leyendo<span class=""screen-reader-text""> ""Muere James Harrison a los 88 años, el donante cuya ‘sangre mágica’ salvó a más de dos millones de bebés""</span></a>",,,,
"Muere Felipe Campuzano, pianista y compositor gaditano, a los 79 años",https://okdiario.com/cultura/muere-felipe-campuzano-pianista-compositor-gaditano-79-anos-14386143,"Tue, 04 Mar 2025 20:02:15 +0100","Muere Felipe Campuzano, pianista y prolífico compositor gaditano, a los 79 años en su casa de Marbella (Málaga). Campuzano ha sido encontrado sin vida esta mañana, sobre las 10:00 horas, en su vivienda, ubicada en la zona residencial marbellí de Las Cumbres. Campuzano ha compuesto canciones para numerosos artistas. Tiene registradas más de 2.500 composiciones … <a class=""more-link"" href=""https://okdiario.com/cultura/muere-felipe-campuzano-pianista-compositor-gaditano-79-anos-14386143"">Continuar leyendo<span class=""screen-reader-text""> ""Muere Felipe Campuzano, pianista y compositor gaditano, a los 79 años""</span></a>",,,,
Giro de 180º en la televisión: llegan a España 2 nuevos canales que lo cambian todo,https://okdiario.com/curiosidades/giro-180o-television-llegan-espana-2-nuevos-canales-que-lo-cambian-todo-14386128,"Tue, 04 Mar 2025 20:00:40 +0100","Llegan a España 2 nuevos canales que pueden cambiarlo todo, nos preparamos para obtener un giro de 180º en este cambio que quizás hasta ahora no hubiéramos ni esperado. Son días de estar muy pendientes de una serie de elementos que pueden ser claves y que quizás hasta ahora no hubiéramos tenido en cuenta. Tocará … <a class=""more-link"" href=""https://okdiario.com/curiosidades/giro-180o-television-llegan-espana-2-nuevos-canales-que-lo-cambian-todo-14386128"">Continuar leyendo<span class=""screen-reader-text""> ""Giro de 180º en la televisión: llegan a España 2 nuevos canales que lo cambian todo""</span></a>",,,,
Los jugadores de pádel alzan la voz: «La práctica del pádel profesional se ha vuelto insostenible»,https://okdiario.com/deportes/jugadores-alzan-voz-contra-premier-padel-practica-del-padel-profesional-vuelto-insostenible-14385497,"Tue, 04 Mar 2025 19:49:23 +0100","El pádel vive uno de los momentos más delicados de su historia. La Asociación de Jugadores de Pádel Profesionales (PPA) ha levantado la voz contra Premier Padel en una rueda de prensa celebrada este martes en Ciudad de la Raqueta, para explicar las ausencias de los top-100 en los torneos de Gijón y Cancún. Los … <a class=""more-link"" href=""https://okdiario.com/deportes/jugadores-alzan-voz-contra-premier-padel-practica-del-padel-profesional-vuelto-insostenible-14385497"">Continuar leyendo<span class=""screen-reader-text""> ""Los jugadores de pádel alzan la voz: «La práctica del pádel profesional se ha vuelto insostenible»""</span></a>",,,,
